fold,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
0,0.915863,0.912862,0.834691,0.827751,0.845277,0.836422,0.669531
1,0.916178,0.911438,0.848263,0.838522,0.862649,0.850415,0.696814
2,0.924996,0.921822,0.847135,0.848122,0.84582,0.846969,0.694274
3,0.917045,0.911062,0.837361,0.837588,0.837134,0.837361,0.674722
4,0.916038,0.914799,0.844692,0.837766,0.855049,0.846319,0.689529
5,0.922884,0.92341,0.85338,0.851512,0.856135,0.853817,0.706771
6,0.913466,0.908877,0.838447,0.845344,0.828354,0.836763,0.677029
7,0.914845,0.912294,0.832202,0.835068,0.827811,0.831424,0.664428
8,0.915447,0.912305,0.839805,0.844628,0.8327,0.838621,0.679676
9,0.916815,0.912938,0.841977,0.836451,0.850081,0.843211,0.684045
Mean,0.9173577,0.9141807,0.8417953,0.8402752,0.844101,0.8421322,0.6836819
Std,0.0036477256,0.0047104001,0.0065854267,0.0070526859,0.0122049921,0.0071369164,0.0131808799
