fold,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
0,0.909623,0.908952,0.833062,0.83216,0.834419,0.833288,0.666126
1,0.919452,0.918124,0.845277,0.840107,0.852877,0.846444,0.690634
2,0.918648,0.915087,0.843606,0.838503,0.851249,0.844828,0.68729
3,0.911992,0.906057,0.834646,0.835967,0.83279,0.834376,0.669296
4,0.909401,0.907419,0.836003,0.838251,0.83279,0.835512,0.672021
5,0.922268,0.91455,0.846321,0.858427,0.829533,0.843733,0.693038
6,0.911033,0.908037,0.837904,0.833691,0.844106,0.838866,0.675862
7,0.906862,0.901557,0.832202,0.832518,0.831613,0.832065,0.664404
8,0.921974,0.922537,0.847135,0.853821,0.837588,0.845627,0.694395
9,0.918189,0.913579,0.837361,0.8375,0.837045,0.837272,0.674722
Mean,0.9149442,0.9115899,0.8393517,0.8400945,0.838401,0.8392011,0.6787788
Std,0.0057348876,0.0062869527,0.005700427,0.0089166574,0.0082543843,0.0055031845,0.0114865221
