fold,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
0,0.960459,0.966027,0.891519,0.869888,0.92126,0.894837,0.784386
1,0.959175,0.962708,0.891519,0.864469,0.929134,0.895636,0.785214
2,0.965221,0.969154,0.885602,0.862454,0.916996,0.888889,0.772771
3,0.962521,0.956846,0.901381,0.88015,0.928854,0.903846,0.804009
4,0.964224,0.962715,0.905138,0.886792,0.928854,0.907336,0.81119
5,0.964278,0.968411,0.891304,0.87218,0.916996,0.894027,0.783644
6,0.975128,0.978802,0.91502,0.910156,0.920949,0.915521,0.830098
7,0.961084,0.963302,0.891304,0.880769,0.905138,0.892788,0.782908
8,0.965083,0.969987,0.905138,0.886792,0.928854,0.907336,0.81119
9,0.967536,0.972171,0.891304,0.883721,0.901186,0.892368,0.782762
