fold,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
0,0.957736,0.9556,0.883629,0.844523,0.940945,0.89013,0.772277
1,0.956164,0.961031,0.877712,0.850365,0.917323,0.882576,0.757748
2,0.961704,0.96806,0.907298,0.915323,0.897233,0.906188,0.814746
3,0.972939,0.968041,0.915187,0.894737,0.940711,0.917148,0.831485
4,0.965427,0.96847,0.897233,0.876404,0.924901,0.9,0.795686
5,0.965802,0.967661,0.905138,0.905138,0.905138,0.905138,0.810277
6,0.973191,0.977027,0.913043,0.900383,0.928854,0.914397,0.8265
7,0.961529,0.963486,0.905138,0.89272,0.920949,0.906615,0.810682
8,0.967708,0.97159,0.895257,0.87594,0.920949,0.897881,0.791559
9,0.962544,0.963055,0.883399,0.859259,0.916996,0.887189,0.768535
