fold,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
0,0.955865,0.959333,0.904393,0.902564,0.907216,0.904884,0.808793
1,0.943967,0.948581,0.850129,0.830097,0.881443,0.855,0.701559
2,0.950136,0.952342,0.875969,0.854369,0.907216,0.88,0.753347
3,0.957841,0.954848,0.906977,0.8867,0.932642,0.909091,0.815066
4,0.949442,0.951064,0.886305,0.853081,0.932642,0.891089,0.776026
5,0.946143,0.947963,0.886305,0.890052,0.880829,0.885417,0.772644
6,0.952844,0.954249,0.867876,0.848039,0.896373,0.871537,0.736949
7,0.958415,0.965899,0.896373,0.904762,0.88601,0.895288,0.792916
8,0.973006,0.974798,0.906736,0.882927,0.937824,0.909548,0.815048
9,0.949421,0.953481,0.870466,0.842105,0.911917,0.875622,0.743492
Mean,0.953708,0.9562558,0.8851529,0.8694696,0.9074112,0.8877476,0.771584
Std,0.0082899008,0.0083661223,0.0190498242,0.0268686604,0.0215492134,0.0177643619,0.0378080752
