fold,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
0,0.958509,0.962195,0.906977,0.883495,0.938144,0.91,0.815493
1,0.945569,0.951028,0.865633,0.848039,0.891753,0.869347,0.732207
2,0.958002,0.961076,0.865633,0.825688,0.927835,0.873786,0.736872
3,0.967323,0.962725,0.909561,0.89899,0.92228,0.910486,0.819406
4,0.946718,0.951568,0.894057,0.887755,0.901554,0.894602,0.788215
5,0.957775,0.959011,0.878553,0.888298,0.865285,0.87664,0.757341
6,0.964106,0.965638,0.891192,0.883249,0.901554,0.892308,0.782552
7,0.955932,0.959055,0.880829,0.901639,0.854922,0.87766,0.762682
8,0.973825,0.971761,0.906736,0.865116,0.963731,0.911765,0.818809
9,0.946334,0.951844,0.865285,0.830986,0.917098,0.871921,0.734524
Mean,0.9574093,0.9595901,0.8864456,0.8713255,0.9084156,0.8888515,0.7748101
Std,0.0093905277,0.0066817854,0.017813731,0.0275345627,0.0327988977,0.0171715586,0.0351962402
